values
5531648
5496840
5527576
5523492
5584932
5517348
5390376
5496872
5507120
5556276
5574712
5500992
5496904
5390408
5511240
5451848
5539916
5494868
5498968
5550180
5527656
5523572
5490808
5390456
5499008
5503108
5578884
5558408
5552264
5494932
5494936
5597336
5497000
5390504
5572776
5451944
5490856
5527728
5517492
5490872
5492924
5390536
5490888
5492940
5503188
5527764
5507288
5490904
5507296
5519588
5390568
5490920
5497064
5490936
5503232
5501184
5390600
5490952
5533960
5515540
5517588
5525784
5493020
5495072
5390632
5517608
5490984
5501224
5497132
5552424
5491000
5556544
5456196
5491016
5390664
5491048
5552488
5505388
5507440
5513592
5517700
5452168
5390728
5577096
5491080
5530000
5497248
5452200
5513640
5491112
5556652
5554624
5493192
5499340
5491160
5566936
5499356
5497320
5528060
5497344
5503492
5550596
5495304
5497352
5403152
5558800
5511700
5491224
5552664
5503520
5503532
5521964
5507628
5495348
5567040
5503556
5497420
5491288
5495396
5499492
5499496
5579368
5491320
5393024
5532308
5419680
5577380
5491368
5526188
5511860
5491384
5393088
5552840
5501640
5515988
5552856
5491416
5491432
5497580
5491448
5552888
5516036
5395204
5491464
5520136
5499664
5395216
5491480
5481248
5491496
5550888
5516084
5579572
5491512
5552952
5499704
5565256
5585740
5503824
5544784
5491536
5491544
5552984
5512032
5491560
5501800
5567344
5505916
5503872
5532548
5575560
5491592
5491596
5491608
5518232
5503900
5516196
5491624
5528500
5524404
5497784
5493688
5608380
5557184
5491656
5505992
5530568
5514184
5559244
5401568
5516260
5491688
5553128
5501928
5565420
5557240
5512196
5491720
5553160
5555216
5499920
5516308
5573656
5501976
5491752
5553192
5501992
5495872
5530692
5493832
5530700
5596240
5512272
5555284
5491800
5504088
5504104
5504112
5506160
5565560
5502080
5504152
5553304
5495960
5506200
5520540
5520544
5504168
5498024
5495984
5557428
5498036
5512380
5502144
5526724
5559492
5506256
5504220
5502176
5500144
5508336
5610740
5563672
5518636
5494060
5561648
5557556
5498172
5516612
5498184
5512548
5494120
5518700
5508460
5498224
5526896
5561716
5502332
5533052
5506428
5502336
5565824
5518720
5496192
5555588
5526924
5393804
5506448
5557656
5531036
5502376
5598632
5518764
5514672
5494192
5512628
5498300
5563840
5555656
5498316
5502432
5508576
5520880
5498356
5500408
5551620
5512732
5516832
5475876
5555752
5510704
5455416
5520960
5492292
5531204
5514836
5529180
5504608
5494372
5502564
5494392
5496440
5527172
5529220
5512840
5543568
5521060
5496488
5490344
5521072
5506740
5553852
5496516
5506756
5504712
5496520
5543628
5492440
5506792
5500660
5580532
5512956
5390088
5564176
5498872
5513000
5568304
5498676
5492536
5525316
5510984
5527368
5511000
5492568
5502812
5586780
5566304
5496672
5502820
5582692
5513064
5533544
5547884
5504880
5498740
5541756
5498764
5515156
5564312
5511064
5554072
5564324
5492644
5523396
5517252
5517256
5494736
5519316
5507032
5517284
5498856
5558260
5564404
5566456
